flag,model,bin_idx,bin_lo,bin_hi,n,error_rate,werr
deletion,aligned_deja,6,0.04834541380405426,0.09781527519226074,1551,0.0025789813023855577,0.00014142675756408966
deletion,aligned_source,0,0.0,0.00802774727344513,16712,0.3217448539971278,0.001111320131215369
deletion,aligned_source,1,0.00802774727344513,0.014777213335037231,14757,0.11533509520905333,0.0012505630082600063
deletion,aligned_source,2,0.014777213335037231,0.02207021415233612,14831,0.045715056300991166,0.0008153399777471894
deletion,aligned_source,3,0.02207021415233612,0.030103623867034912,10785,0.02049142327306444,0.0005189971234105393
deletion,aligned_source,4,0.030103623867034912,0.03491508960723877,3850,0.008831168831168832,0.0002903929933325037
deletion,aligned_source,5,0.03491508960723877,0.049367728829383825,5656,0.004596888260254597,0.0001814770900882791
deletion,aligned_source,6,0.049367728829383825,0.09365761280059814,1558,0.0006418485237483953,5.257688223627014e-05
deletion,aligned_pacifico,0,0.0,0.007944509387016296,16751,0.3255328040117008,0.0010919948598034923
deletion,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,14865,0.11900437268752102,0.0012836809235312022
deletion,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,14774,0.04433464193854068,0.0007892777911054922
deletion,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,10742,0.019828709737479053,0.0004935685293431655
deletion,aligned_pacifico,4,0.029759883880615234,0.034644126892089844,3984,0.009789156626506024,0.00031506469151581145
deletion,aligned_pacifico,5,0.034644126892089844,0.049009972810745234,5488,0.006013119533527697,0.00022971741963753546
deletion,aligned_pacifico,6,0.049009972810745234,0.10089421272277832,1545,0.0025889967637540453,0.0001621848171197095
substitution,vate,0,0.0,0.014221474528312683,56926,0.3108948459403436,0.001847778637176429
substitution,vate,1,0.014221474528312683,0.026427507400512695,56928,0.1019884766722878,0.0019805883981408932
substitution,vate,2,0.026427507400512695,0.039520263671875,54806,0.03725869430354341,0.0011782461392402265
substitution,vate,3,0.039520263671875,0.056232184171676636,29010,0.024060668734918994,0.001103811860289996
substitution,vate,4,0.056232184171676636,0.067271888256073,6864,0.021124708624708624,0.0012875621951682307
substitution,vate,5,0.067271888256073,0.10144402384757996,9355,0.010048102618920363,0.0007721895651661859
substitution,vate,6,0.10144402384757996,0.232882559299469,2367,0.0021123785382340513,0.0002582755882527489
substitution,aligned_deja,0,0.0,0.007757246494293213,56593,0.2945770678352446,0.0009570159954743553
substitution,aligned_deja,1,0.007757246494293213,0.014355868101119995,56848,0.08628271882915846,0.0009036211775552377
substitution,aligned_deja,2,0.014355868101119995,0.02157685160636902,55272,0.031173107540888697,0.0005354906348351167
substitution,aligned_deja,3,0.02157685160636902,0.029673337936401367,29851,0.017821848514287628,0.0004445602337058747
substitution,aligned_deja,4,0.029673337936401367,0.03430074453353882,6459,0.013469577333952624,0.0004299908235062385
substitution,aligned_deja,5,0.03430074453353882,0.04834541380405426,8859,0.0077886894683372844,0.00030769606397684546
substitution,aligned_deja,6,0.04834541380405426,0.09781527519226074,2374,0.0029486099410278013,0.00015245550002184052
substitution,aligned_source,0,0.0,0.00802774727344513,56573,0.2924539974899687,0.0009733048622046791
substitution,aligned_source,1,0.00802774727344513,0.014777213335037231,56991,0.08260953483883421,0.0008958715242990723
substitution,aligned_source,2,0.014777213335037231,0.02207021415233612,55227,0.029949119090300035,0.0005264373608047519
substitution,aligned_source,3,0.02207021415233612,0.030103623867034912,29785,0.01611549437636394,0.000405655418323634
substitution,aligned_source,4,0.030103623867034912,0.03491508960723877,6501,0.011382864174742347,0.00036744966156353236
substitution,aligned_source,5,0.03491508960723877,0.049367728829383825,8799,0.006250710307989544,0.00024338822728436785
substitution,aligned_source,6,0.049367728829383825,0.09365761280059814,2380,0.0033613445378151263,0.0001791396812230599
substitution,aligned_pacifico,0,0.0,0.007944509387016296,56624,0.2911839502684374,0.0009508180029650265
substitution,aligned_pacifico,1,0.007944509387016296,0.014618337154388428,56967,0.08325872873769025,0.0008927503453613171
substitution,aligned_pacifico,2,0.014618337154388428,0.02183227241039276,55336,0.02799262686135608,0.0004911619318398469
substitution,aligned_pacifico,3,0.02183227241039276,0.029759883880615234,29699,0.015219367655476615,0.0003783546086854696
